Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Seattle, WA metro area",Dec-20,$622K,-1.30%,9.10%,"4,468",-0.60%,19.70%,"2,515",-16.70%,57.40%,"2,434",-28.30%,-28.90%,9,2,-23,101.60%,-0.10%,2.30%
"Seattle, WA metro area",Jan-21,$625K,0.50%,13.60%,"2,910",-34.90%,16.60%,"3,414",35.70%,6.70%,"2,296",-5.70%,-28.60%,10,1,-28,101.80%,0.30%,2.40%
"Seattle, WA metro area",Feb-21,$656K,5.00%,14.20%,"3,162",8.70%,5.80%,"3,814",11.70%,-4.90%,"2,240",-2.40%,-33.30%,6,-4,-10,104.20%,2.30%,3.50%
"Seattle, WA metro area",Mar-21,$700K,6.60%,17.90%,"4,483",41.80%,18.00%,"5,547",45.40%,7.30%,"2,220",-0.90%,-49.50%,6,0,-1,106.40%,2.20%,4.60%
"Seattle, WA metro area",Apr-21,$720K,2.90%,20.00%,"5,022",12.00%,65.30%,"6,250",12.70%,68.10%,"2,951",32.90%,-38.70%,5,-1,-1,107.50%,1.10%,6.00%
"Seattle, WA metro area",May-21,$740K,2.80%,26.50%,"5,227",4.10%,71.90%,"5,839",-6.60%,23.00%,"2,697",-8.60%,-44.70%,5,0,-5,107.60%,0.10%,7.20%
"Seattle, WA metro area",Jun-21,$744K,0.50%,20.90%,"6,089",16.50%,37.90%,"6,519",11.60%,23.30%,"3,109",15.30%,-34.70%,6,1,-3,107.10%,-0.50%,6.30%
"Seattle, WA metro area",Jul-21,$750K,0.90%,20.60%,"5,701",-6.40%,13.00%,"6,047",-7.20%,-0.40%,"3,780",21.60%,-26.00%,6,0,-2,105.80%,-1.30%,4.60%
"Seattle, WA metro area",Aug-21,$730K,-2.70%,15.90%,"5,437",-4.60%,8.30%,"5,319",-12.00%,-11.30%,"3,332",-11.90%,-35.00%,6,0,-1,104.50%,-1.30%,3.10%
"Seattle, WA metro area",Sep-21,$715K,-2.10%,11.70%,"5,341",-1.80%,0.00%,"5,409",1.70%,-5.20%,"3,384",1.60%,-31.20%,7,1,0,103.70%,-0.80%,2.10%
"Seattle, WA metro area",Oct-21,$727K,1.70%,14.50%,"4,962",-7.10%,-11.50%,"4,212",-22.10%,-19.20%,"2,606",-23.00%,-44.10%,7,0,0,103.80%,0.10%,2.10%
"Seattle, WA metro area",Nov-21,$720K,-1.00%,14.30%,"4,554",-8.20%,1.30%,"2,895",-31.30%,-4.10%,"1,580",-39.40%,-53.50%,6,-1,-1,104.10%,0.30%,2.40%
"Seattle, WA metro area",Dec-21,$733K,1.80%,17.80%,"3,845",-15.60%,-13.90%,"2,005",-30.70%,-20.30%,"1,052",-33.40%,-56.80%,7,1,-2,104.30%,0.20%,2.70%
"Seattle, WA metro area",Jan-22,$720K,-1.70%,15.20%,"2,279",-40.70%,-21.70%,"2,835",41.40%,-17.00%,"1,114",5.90%,-51.50%,6,-1,-4,105.00%,0.80%,3.20%
"Seattle, WA metro area",Feb-22,$751K,4.30%,14.40%,"2,715",19.10%,-14.10%,"3,959",39.60%,3.80%,"1,440",29.30%,-35.70%,5,-1,-1,108.60%,3.60%,4.50%
"Seattle, WA metro area",Mar-22,$825K,9.90%,17.90%,"4,444",63.70%,-0.90%,"5,716",44.40%,3.00%,"2,144",48.90%,-3.40%,5,0,-1,110.70%,2.00%,4.30%
"Seattle, WA metro area",Apr-22,$851K,3.20%,18.20%,"4,549",2.40%,-9.40%,"5,717",0.00%,-8.50%,"3,139",46.40%,6.40%,5,0,0,109.80%,-0.80%,2.40%
"Seattle, WA metro area",May-22,$853K,0.30%,15.30%,"4,842",6.40%,-7.40%,"6,038",5.60%,3.40%,"4,064",29.50%,50.70%,5,0,0,107.00%,-2.90%,-0.60%
"Seattle, WA metro area",Jun-22,$825K,-3.30%,11.00%,"4,588",-5.20%,-24.70%,"6,264",3.70%,-3.90%,"6,010",47.90%,93.30%,6,1,0,102.90%,-4.10%,-4.20%
"Seattle, WA metro area",Jul-22,$798K,-3.30%,6.40%,"3,573",-22.10%,-37.30%,"4,998",-20.20%,-17.30%,"6,663",10.90%,76.30%,9,3,3,100.20%,-2.70%,-5.60%
"Seattle, WA metro area",Aug-22,$780K,-2.30%,6.80%,"3,795",6.20%,-30.20%,"3,993",-20.10%,-24.90%,"6,092",-8.60%,82.80%,15,6,9,98.90%,-1.30%,-5.60%
"Seattle, WA metro area",Sep-22,$765K,-1.90%,7.00%,"3,625",-4.50%,-32.10%,"4,030",0.90%,-25.50%,"6,286",3.20%,85.80%,21,6,14,98.70%,-0.20%,-5.00%
"Seattle, WA metro area",Oct-22,$768K,0.40%,5.60%,"2,977",-17.90%,-40.00%,"2,842",-29.50%,-32.50%,"5,703",-9.30%,118.80%,21,0,14,98.50%,-0.20%,-5.20%
"Seattle, WA metro area",Nov-22,$738K,-3.90%,2.50%,"2,500",-16.00%,-45.10%,"1,895",-33.30%,-34.50%,"4,672",-18.10%,195.70%,25,4,19,98.00%,-0.50%,-6.00%
"Seattle, WA metro area",Dec-22,$710K,-3.80%,-3.10%,"2,154",-13.80%,-44.00%,"1,058",-44.20%,-47.20%,"3,477",-25.60%,230.50%,32,7,25,97.80%,-0.20%,-6.40%
